id_anon,e01_leite_peito,e02_agua,e04_agua_com_acucar,e05_cha,e06_leite_vaca_po,e07_leite_vaca_liquido,e08_leite_soja_po,e09_leite_soja_liquido,e10_formula_infantil,e11_suco,e12_fruta_inteira,e16_comida_sal,e181_pedacos,e182_amassada,e183_peneira,e184_liquidificada,e185_caldo,e189_nao_sabe,e19_mingau,e20_iogurte,e21_arroz,e211a_pao_frances,e212a_feito_em_casa,e213a_industrializado,e214a_nao_comeu,e22_legumes,e23_cenoura,e24_couve,e25_verduras,e26_feijao,e27_carne,e28_figado,e29_ovo,e30_hamburger,e31_salgadinhos,e32_suco_industrializado,e33_refrigerante,e34_macarrao,e35_biscoito,e36_bala,e37_tempero,e38_farinhas,e39_mamadeira,e40_adocado,cluster
10951000402,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0
10951000403,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,7
10951003402,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
10951003403,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,7
10951009202,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
10951009303,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
10951009402,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,9
10951023902,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,3
10951031203,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3
10951032203,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
