id_anon,cluster,perfil
10951000402,0,Alimentação Láctea Mista
10951000403,7,Alimentação Láctea Mista
10951003402,0,Alimentação Láctea Mista
10951003403,7,Alimentação Láctea Mista
10951009202,1,Alimentação Estabelecida Pobre em FV
10951009303,2,Alimentação Láctea com Mamadeira
10951009402,9,Alimentação Estabelecida Pobre em FV
10951023902,3,Alimentação Estabelecida com Alto Ultraprocessado
10951031203,3,Alimentação Estabelecida com Alto Ultraprocessado
10951032203,2,Alimentação Láctea com Mamadeira
10951034502,9,Alimentação Estabelecida Pobre em FV
10951034503,0,Alimentação Láctea Mista
10951035503,9,Alimentação Estabelecida Pobre em FV
10951035504,9,Alimentação Estabelecida Pobre em FV
11180012904,1,Alimentação Estabelecida Pobre em FV
11180014504,0,Alimentação Láctea Mista
11180018002,0,Alimentação Láctea Mista
11180018003,7,Alimentação Láctea Mista
11180019904,3,Alimentação Estabelecida com Alto Ultraprocessado
11180019905,7,Alimentação Láctea Mista
11180020004,5,Alimentação Láctea Mista
11180030806,4,Aleitamento Materno Exclusivo
11180038403,0,Alimentação Láctea Mista
11180049903,2,Alimentação Láctea com Mamadeira
11180053604,3,Alimentação Estabelecida com Alto Ultraprocessado
11180058402,0,Alimentação Láctea Mista
10215000103,8,Alimentação Estabelecida com Alto Ultraprocessado
10215001304,3,Alimentação Estabelecida com Alto Ultraprocessado
10215004606,3,Alimentação Estabelecida com Alto Ultraprocessado
10215007202,9,Alimentação Estabelecida Pobre em FV
10215009005,1,Alimentação Estabelecida Pobre em FV
10215009006,9,Alimentação Estabelecida Pobre em FV
10215015904,0,Alimentação Láctea Mista
10215017305,0,Alimentação Láctea Mista
10215044602,0,Alimentação Láctea Mista
10215044804,2,Alimentação Láctea com Mamadeira
10215050003,1,Alimentação Estabelecida Pobre em FV
10406009203,2,Alimentação Láctea com Mamadeira
10406010202,6,Alimentação Estabelecida Pobre em FV
10406016603,3,Alimentação Estabelecida com Alto Ultraprocessado
10406019804,1,Alimentação Estabelecida Pobre em FV
10406019806,1,Alimentação Estabelecida Pobre em FV
10406025005,0,Alimentação Láctea Mista
10406027702,4,Aleitamento Materno Exclusivo
10406035606,6,Alimentação Estabelecida Pobre em FV
10406036206,0,Alimentação Láctea Mista
10406040904,2,Alimentação Láctea com Mamadeira
10406043403,1,Alimentação Estabelecida Pobre em FV
10414007504,4,Aleitamento Materno Exclusivo
10414009804,4,Aleitamento Materno Exclusivo
10414010704,0,Alimentação Láctea Mista
10414010705,4,Aleitamento Materno Exclusivo
10414025806,0,Alimentação Láctea Mista
10414025807,4,Aleitamento Materno Exclusivo
10414030203,0,Alimentação Láctea Mista
10414033203,3,Alimentação Estabelecida com Alto Ultraprocessado
10414034903,0,Alimentação Láctea Mista
10414039103,0,Alimentação Láctea Mista
10414040105,1,Alimentação Estabelecida Pobre em FV
10414053003,0,Alimentação Láctea Mista
10414053004,0,Alimentação Láctea Mista
10069002602,9,Alimentação Estabelecida Pobre em FV
10069004804,1,Alimentação Estabelecida Pobre em FV
10069006602,1,Alimentação Estabelecida Pobre em FV
10069008603,7,Alimentação Láctea Mista
10069010103,9,Alimentação Estabelecida Pobre em FV
10069014803,2,Alimentação Láctea com Mamadeira
10069022803,6,Alimentação Estabelecida Pobre em FV
10069022804,1,Alimentação Estabelecida Pobre em FV
10069032003,0,Alimentação Láctea Mista
10069032004,7,Alimentação Láctea Mista
10804109205,2,Alimentação Láctea com Mamadeira
10804109503,3,Alimentação Estabelecida com Alto Ultraprocessado
