,n_criancas,percentual,perfil,leite_materno,nao_comeu_solidos,comida_sal,mamadeira,ultraprocessados,frutas_verduras,diversidade
0,2739,18.81439758208545,Alimentação Láctea Mista,15.735669952537423,100.0,98.79518072289156,53.231106243154436,26.8293955040943,27.46257758305951,29.455010123137175
1,1720,11.814809726610797,Alimentação Estabelecida Pobre em FV,21.22093023255814,0.0,97.26744186046513,36.22093023255814,23.471760797342192,22.406976744186043,26.468023255813954
2,1221,8.387141090809177,Alimentação Láctea com Mamadeira,47.993447993447994,100.0,38.001638001638,77.3136773136773,6.61050661050661,10.188370188370188,16.6945871491326
3,1901,13.058112378073911,Alimentação Estabelecida com Alto Ultraprocessado,22.882693319305627,0.052603892688058915,99.36875328774329,50.394529195160445,43.19531073870895,41.430825881115204,35.550667113002724
4,1640,11.265283692814947,Aleitamento Materno Exclusivo,96.15853658536585,99.8780487804878,9.085365853658537,6.158536585365853,0.7578397212543555,2.7439024390243905,6.9720066518846995
5,1189,8.167330677290837,Alimentação Láctea Mista,27.83851976450799,100.0,97.47687132043734,69.97476871320437,26.75717890183828,26.391925988225402,32.92300634605092
6,810,5.563951092182992,Alimentação Estabelecida Pobre em FV,16.666666666666664,0.0,87.65432098765432,11.851851851851853,10.458553791887127,8.54320987654321,19.604377104377107
7,1258,8.641296881439759,Alimentação Láctea Mista,44.912559618441975,99.92050874403816,96.02543720190779,18.124006359300477,22.723143311378603,27.01112877583466,25.410102615984965
8,984,6.759170215688968,Alimentação Estabelecida com Alto Ultraprocessado,24.796747967479675,0.0,98.8821138211382,72.15447154471545,36.6144018583043,29.654471544715445,36.086474501108654
9,1096,7.528506663003159,Alimentação Estabelecida Pobre em FV,17.7007299270073,0.0,93.15693430656934,20.529197080291972,33.99374348279458,14.489051094890511,25.812873258128732
