id_anon,cluster,b05a_idade_em_meses,idade_numerica
10951000402,0,22 meses,22.0
10951000403,7,51 meses,51.0
10951003402,0,30 meses,30.0
10951003403,7,56 meses,56.0
10951009202,1,10 meses,10.0
10951009303,2,5 meses,5.0
10951009402,9,44 meses,44.0
10951023902,3,49 meses,49.0
10951031203,3,16 meses,16.0
10951032203,2,5 meses,5.0
10951034502,9,49 meses,49.0
10951034503,0,17 meses,17.0
10951035503,9,18 meses,18.0
10951035504,9,50 meses,50.0
11180012904,1,30 meses,30.0
11180014504,0,20 meses,20.0
11180018002,0,22 meses,22.0
11180018003,7,58 meses,58.0
11180019904,3,38 meses,38.0
11180019905,7,16 meses,16.0
11180020004,5,19 meses,19.0
11180030806,4,5 meses,5.0
11180038403,0,19 meses,19.0
11180049903,2,5 meses,5.0
11180053604,3,13 meses,13.0
11180058402,0,32 meses,32.0
10215000103,8,45 meses,45.0
10215001304,3,13 meses,13.0
10215004606,3,12 meses,12.0
10215007202,9,27 meses,27.0
10215009005,1,57 meses,57.0
10215009006,9,40 meses,40.0
10215015904,0,37 meses,37.0
10215017305,0,12 meses,12.0
10215044602,0,13 meses,13.0
10215044804,2,7 meses,7.0
10215050003,1,14 meses,14.0
10406009203,2,0 meses,0.0
10406010202,6,24 meses,24.0
10406016603,3,5 meses,5.0
10406019804,1,30 meses,30.0
10406019806,1,44 meses,44.0
10406025005,0,48 meses,48.0
10406027702,4,11 meses,11.0
10406035606,6,13 meses,13.0
10406036206,0,6 meses,6.0
10406040904,2,0 meses,0.0
10406043403,1,12 meses,12.0
10414007504,4,2 meses,2.0
10414009804,4,3 meses,3.0
10414010704,0,26 meses,26.0
10414010705,4,10 meses,10.0
10414025806,0,43 meses,43.0
10414025807,4,1 mês,1.0
10414030203,0,19 meses,19.0
10414033203,3,15 meses,15.0
10414034903,0,21 meses,21.0
10414039103,0,8 meses,8.0
10414040105,1,8 meses,8.0
10414053003,0,39 meses,39.0
10414053004,0,18 meses,18.0
10069002602,9,30 meses,30.0
10069004804,1,34 meses,34.0
10069006602,1,36 meses,36.0
10069008603,7,58 meses,58.0
10069010103,9,47 meses,47.0
10069014803,2,2 meses,2.0
10069022803,6,52 meses,52.0
10069022804,1,11 meses,11.0
10069032003,0,59 meses,59.0
10069032004,7,25 meses,25.0
10804109205,2,2 meses,2.0
10804109503,3,48 meses,48.0
10055014903,3,22 meses,22.0
10055016506,0,12 meses,12.0
10055026403,3,40 meses,40.0
10055035003,0,57 meses,57.0
10055035004,0,31 meses,31.0
10055040403,1,43 meses,43.0
10055041605,3,25 meses,25.0
10055044405,0,32 meses,32.0
10055044406,2,0 meses,0.0
10055050902,0,19 meses,19.0
10055051704,1,49 meses,49.0
10055053704,7,49 meses,49.0
10055053705,0,19 meses,19.0
11273004105,0,16 meses,16.0
11273011103,3,13 meses,13.0
11273021105,5,10 meses,10.0
11273021505,0,23 meses,23.0
11273025404,0,51 meses,51.0
11273026602,3,57 meses,57.0
11273029003,0,34 meses,34.0
11273030203,2,6 meses,6.0
11273033205,3,21 meses,21.0
11273036303,0,16 meses,16.0
11273036304,0,40 meses,40.0
10908005903,3,45 meses,45.0
10908006203,6,37 meses,37.0
10908006704,6,51 meses,51.0
10908007703,3,24 meses,24.0
10908009503,1,43 meses,43.0
10908011703,1,29 meses,29.0
10908011803,7,46 meses,46.0
10908011804,4,5 meses,5.0
10908018703,9,38 meses,38.0
10908020403,3,25 meses,25.0
10908022503,7,11 meses,11.0
10060001805,4,0 meses,0.0
10060002403,3,16 meses,16.0
10060002404,3,16 meses,16.0
10060005003,6,59 meses,59.0
10060005103,2,50 meses,50.0
10060005104,7,17 meses,17.0
10060007203,9,57 meses,57.0
10060007204,4,3 meses,3.0
10060017702,0,26 meses,26.0
10060033103,8,22 meses,22.0
10060035603,6,58 meses,58.0
10060035904,7,49 meses,49.0
10060035905,4,7 meses,7.0
10060036403,3,13 meses,13.0
10268012102,2,3 meses,3.0
10268012802,4,1 mês,1.0
10268017502,0,20 meses,20.0
10268022202,2,17 meses,17.0
10268022203,4,2 meses,2.0
10268030702,3,57 meses,57.0
10268030703,3,21 meses,21.0
10268041602,3,12 meses,12.0
10268042503,0,29 meses,29.0
10268043506,4,2 meses,2.0
10268043602,4,4 meses,4.0
10268044403,3,34 meses,34.0
10268044406,9,56 meses,56.0
10299005404,3,19 meses,19.0
10299009407,9,22 meses,22.0
10299013403,1,43 meses,43.0
10299014206,0,46 meses,46.0
10299014903,3,26 meses,26.0
10299014904,0,26 meses,26.0
10299016104,1,38 meses,38.0
10299023402,3,38 meses,38.0
10299026502,7,53 meses,53.0
10299026903,9,16 meses,16.0
10299027805,1,38 meses,38.0
11240020403,2,6 meses,6.0
11240020404,9,54 meses,54.0
11240028904,3,34 meses,34.0
11240029704,0,58 meses,58.0
11240033204,3,53 meses,53.0
11240034805,3,24 meses,24.0
